datetime_utc,candle_close_utc,current_price,candle_low,entry_price,current_return_pct,intraday_low_ret_pct,target_return_pct,sl_pct,sl_price,tp_price,days_held,horizon_days,exit_triggered
2026-07-24 04:56:07,2026-07-24 04:55:00,65271.0,65270.0,65069.0,0.3104,0.3089,2.0652,-1.0326,64397.1,66412.8,0.201,7,none
2026-07-24 05:01:30,2026-07-24 05:00:00,65252.0,65251.0,65069.0,0.2812,0.2797,2.0652,-1.0326,64397.1,66412.8,0.205,7,none
2026-07-24 05:06:07,2026-07-24 05:05:00,65273.0,65237.0,65069.0,0.3135,0.2582,2.0652,-1.0326,64397.1,66412.8,0.208,7,none
2026-07-24 05:11:11,2026-07-24 05:10:00,65336.0,65336.0,65069.0,0.4103,0.4103,2.0652,-1.0326,64397.1,66412.8,0.212,7,none
2026-07-24 05:16:18,2026-07-24 05:15:00,65326.0,65323.0,65069.0,0.395,0.3904,2.0652,-1.0326,64397.1,66412.8,0.215,7,none
2026-07-24 05:21:17,2026-07-24 05:20:00,65323.0,65323.0,65069.0,0.3904,0.3904,2.0652,-1.0326,64397.1,66412.8,0.219,7,none
2026-07-24 05:26:04,2026-07-24 05:25:00,65316.0,65316.0,65069.0,0.3796,0.3796,2.0652,-1.0326,64397.1,66412.8,0.222,7,none
2026-07-24 05:31:21,2026-07-24 05:30:00,65309.0,65309.0,65069.0,0.3688,0.3688,2.0652,-1.0326,64397.1,66412.8,0.226,7,none
2026-07-24 05:36:13,2026-07-24 05:35:00,65258.0,65257.0,65069.0,0.2905,0.2889,2.0652,-1.0326,64397.1,66412.8,0.229,7,none
2026-07-24 05:41:11,2026-07-24 05:40:00,65247.0,65247.0,65069.0,0.2736,0.2736,2.0652,-1.0326,64397.1,66412.8,0.233,7,none
2026-07-24 05:46:09,2026-07-24 05:45:00,65298.0,65282.0,65069.0,0.3519,0.3273,2.0652,-1.0326,64397.1,66412.8,0.236,7,none
2026-07-24 05:51:15,2026-07-24 05:50:00,65278.0,65277.0,65069.0,0.3212,0.3197,2.0652,-1.0326,64397.1,66412.8,0.24,7,none
2026-07-24 05:56:07,2026-07-24 05:55:00,65264.0,65264.0,65069.0,0.2997,0.2997,2.0652,-1.0326,64397.1,66412.8,0.243,7,none
2026-07-24 06:01:22,2026-07-24 06:00:00,65264.0,65263.0,65069.0,0.2997,0.2981,2.0652,-1.0326,64397.1,66412.8,0.247,7,none
2026-07-24 06:06:15,2026-07-24 06:05:00,65261.0,65260.0,65069.0,0.2951,0.2935,2.0652,-1.0326,64397.1,66412.8,0.25,7,none
2026-07-24 06:11:13,2026-07-24 06:10:00,65314.0,65299.0,65069.0,0.3765,0.3535,2.0652,-1.0326,64397.1,66412.8,0.254,7,none
2026-07-24 06:16:10,2026-07-24 06:15:00,65339.0,65339.0,65069.0,0.4149,0.4149,2.0652,-1.0326,64397.1,66412.8,0.257,7,none
2026-07-24 06:21:21,2026-07-24 06:20:00,65449.0,65449.0,65069.0,0.584,0.584,2.0652,-1.0326,64397.1,66412.8,0.261,7,none
